Price,Beds,SqFt,Baths,Address,City,Zip,PropertyType,YearBuilt,Community,LotSize,RedfinEstimate,PricePerSqFt,CentralAir,Fireplace,Levels,MainLevelBathrooms,MainLevelBedrooms,Spa,GarageSpaces,ParkingSpaces,Patio,Pool,CommonWalls,Latitude,Longitude,WalkInCloset,KitchenIsland,CloseToOutdoors,HighCeiling,SixtoEightRating,SixtoEightType,SixtoEightDist,NinetoTwelveRating,NinetoTwelveType,NinetoTwelveDist,KtoSixRating,KtoSixType,KtoSixDist,SeventoEightRating,SeventoEightType,SeventoEightDist,KtoFiveRating,KtoFiveType,KtoFiveDist,WalkScore,TransitScore,BikeScore
499900,3.0,1232.0,2.5,1443 Sycamore Ave,Tustin,92780.0,Condominium,1964.0,71 - Tustin,1646.0,535330.0,406.0,Yes,Yes,Two,1.0,0.0,Community,1.0,2.5,Yes,Community,2+ Common Walls,33.727121,-117.823505,No,No,No,No,3.0,Public,0.1,6.0,Public,0.7,,,,,,,,,,64.0,38.0,79.0
417000,2.0,1104.0,1.5,485 E 1st St,Tustin,92780.0,Condominium,1964.0,71 - Tustin,,464222.0,378.0,No,No,Two,1.0,0.0,No,1.0,1.0,No,Community,2+ Common Walls,33.746758,-117.819417,No,No,No,No,6.0,Public,0.2,9.0,Public,1.8,,,,,,,,,,87.0,47.0,63.0
770000,4.0,1445.0,2.0,14542 Gylah Ln,Tustin,92780.0,Single Family Residence,1963.0,71 - Tustin,11761.0,833905.0,533.0,Yes,Yes,One,2.0,4.0,No,1.0,2.0,No,No,No Common Wall,33.752285,-117.810823,No,No,No,No,6.0,Public,0.5,9.0,Public,1.3,,,,,,,,,,68.0,42.0,56.0
435000,2.0,1258.0,2.0,14802 Newport Ave Unit 2D,Tustin,92780.0,Condominium,1965.0,71 - Tustin,,453265.0,346.0,Yes,No,One,1.0,1.0,No,0.0,1.0,Yes,Community,1 Common Wall,33.728493,-117.830448,No,No,No,No,3.0,Public,0.3,6.0,Public,0.9,,,,,,,,,,66.0,37.0,80.0
790000,3.0,1536.0,2.0,155 Mountain View Dr,Tustin,92780.0,Single Family Residence,1924.0,71 - Tustin,12632.0,978939.0,514.0,Yes,No,One,2.0,3.0,No,1.0,2.0,Yes,No,No Common Wall,33.74695,-117.82874,No,No,No,No,6.0,Public,0.6,9.0,Public,2.3,,,,,,,,,,69.0,44.0,56.0
847000,3.0,2133.0,3.0,14442 Acacia Dr,Tustin,92780.0,Single Family Residence,1965.0,71 - Tustin,8842.0,1041071.0,397.0,Yes,Yes,Two,1.0,0.0,No,1.0,3.0,Yes,Private,No Common Wall,33.753278,-117.826635,Yes,No,No,No,6.0,Public,0.4,9.0,Public,1.9,,,,,,,,,,46.0,40.0,44.0
795000,3.0,1990.0,2.0,1391 Lance Dr,Tustin,92780.0,Single Family Residence,1962.0,71 - Tustin,7592.0,927044.0,399.0,Yes,Yes,One,2.0,3.0,No,1.0,2.0,Yes,No,No Common Wall,33.739275,-117.81202,Yes,No,No,No,5.0,Public,0.6,6.0,Public,0.4,,,,,,,,,,71.0,45.0,64.0
355000,2.0,1047.0,2.0,15506 Williams St Unit A51,Tustin,92780.0,Condominium,1967.0,71 - Tustin,,410108.0,339.0,Yes,Yes,One,2.0,2.0,No,1.0,1.0,Yes,Community,1 Common Wall,33.737765,-117.839055,No,No,No,No,3.0,Public,1.2,8.0,Public,3.5,,,,,,,,,,55.0,39.0,54.0
420000,2.0,968.0,1.0,16914 STONEGLASS,Tustin,92780.0,Condominium,1978.0,71 - Tustin,,438950.0,434.0,Yes,No,Two,0.0,0.0,Community,1.0,2.0,No,Community,2+ Common Walls,33.742443,-117.834817,No,No,No,No,6.0,Public,1.0,9.0,Public,2.7,,,,,,,,,,51.0,40.0,45.0
393000,3.0,1192.0,2.0,1800 W Gramercy Ave #18,Anaheim,92801.0,Condominium,1964.0,79 - Anaheim West of Harbor,1192.0,436086.0,330.0,Yes,Yes,Two,1.0,0.0,No,1.0,1.0,No,Community,1 Common Wall,33.841163,-117.94501,No,No,No,No,,,,4.0,Public,1.4,5.0,Public,0.5,2.0,Public,0.8,,,,53.0,33.0,47.0
640000,3.0,1186.0,2.0,919 N Mohawk Ave N,Anaheim,92801.0,Single Family Residence,1955.0,79 - Anaheim West of Harbor,6583.0,708321.0,540.0,Yes,Yes,One,2.0,3.0,Private,1.0,9.0,No,No,No Common Wall,33.844676,-117.94499,No,No,No,No,,,,4.0,Public,1.5,5.0,Public,0.6,2.0,Public,0.8,,,,81.0,31.0,53.0
620000,3.0,1248.0,2.0,2334 W Falmouth Ave,Anaheim,92801.0,Single Family Residence,1955.0,79 - Anaheim West of Harbor,6000.0,713226.0,497.0,Yes,Yes,One,2.0,3.0,No,2.0,2.0,Yes,No,No Common Wall,33.84985,-117.965641,No,No,No,No,,,,4.0,Public,1.0,3.0,Public,0.7,2.0,Public,0.7,,,,44.0,36.0,44.0
321500,2.0,876.0,1.0,1901 W Greenleaf Ave Unit H,Anaheim,92801.0,Condominium,1964.0,699 - Not Defined,,343009.0,367.0,Yes,No,One,1.0,2.0,No,1.0,2.0,Yes,Community,2+ Common Walls,33.842272,-117.948414,No,No,No,No,,,,4.0,Public,1.3,5.0,Public,0.7,2.0,Public,0.6,,,,67.0,33.0,49.0
470000,2.0,1105.0,2.5,1354 N Mako Ln #23,Anaheim,92801.0,Townhouse,1982.0,79 - Anaheim West of Harbor,,489331.0,425.0,Yes,No,Two,1.0,0.0,Community,1.0,2.0,Yes,Community,2+ Common Walls,33.851624,-117.947981,Yes,No,No,No,,,,4.0,Public,1.6,3.0,Public,0.4,2.0,Public,0.9,,,,60.0,32.0,53.0
